timeStamp,pressureHPA,pressureINHG,temperature,humidity,visibility,currentCondition,forecastCondition,temperatureHigh,temperatureLow,conditionCode,forecastCode
6/20/2015 13:17:57,1019.641628,30.11,66,81,3,Light Rain,Cloudy,72,69,11,26
6/20/2015 13:48:05,1019.641628,30.11,66,81,3,Light Rain,Cloudy,72,69,11,26
6/20/2015 14:18:13,1018.96435,30.09,65,84,6,Cloudy,Cloudy,72,69,26,26
6/20/2015 14:48:25,1018.96435,30.09,65,84,7,Cloudy,Cloudy,72,69,26,26
6/20/2015 15:18:35,1018.96435,30.09,66,84,7,Cloudy,Rain,72,69,26,12
6/20/2015 15:48:44,1018.96435,30.09,66,84,7,Cloudy,Rain,72,69,26,12
6/20/2015 16:18:52,1018.287072,30.07,68,81,7,Cloudy,Rain,72,69,26,12
6/20/2015 16:49:00,1017.609794,30.05,68,81,5,Cloudy,Rain,72,69,26,12
6/20/2015 17:19:07,1017.609794,30.05,68,84,5,Cloudy,Rain,72,69,26,12
6/20/2015 17:49:15,1017.271155,30.04,68,87,3,Cloudy,Heavy Rain,72,69,26,40
6/20/2015 18:19:22,1016.593878,30.02,69,87,4,Cloudy,Heavy Rain,72,69,26,40
6/20/2015 18:49:31,1016.593878,30.02,69,87,4,Cloudy,Heavy Rain,72,69,26,40
6/20/2015 19:19:40,1016.593878,30.02,69,87,4,Cloudy,Heavy Rain,72,69,26,40
6/20/2015 19:49:48,1016.593878,30.02,69,87,4,Cloudy,Heavy Rain,72,69,26,40
6/20/2015 20:19:55,1015.9166,30,69,84,4,Haze,Heavy Rain,72,69,21,40
6/20/2015 20:50:04,1015.9166,30,69,84,4,Haze,Thundershowers Late,72,70,21,45
6/20/2015 21:20:12,1014.900683,29.97,68,87,2.5,Fog,Thundershowers Late,72,70,20,45
6/20/2015 21:50:20,1014.900683,29.97,68,90,2.5,Fog,Thundershowers,72,69,20,11
6/20/2015 22:20:28,1014.900683,29.97,69,87,3,Cloudy,Thundershowers,72,69,26,11
6/20/2015 22:50:36,1014.900683,29.97,69,87,3,Cloudy,Thundershowers,72,69,26,11
6/20/2015 23:20:44,1014.223406,29.95,68,90,4,Cloudy,Thundershowers,72,70,26,11
6/20/2015 23:50:52,1013.884767,29.94,69,87,4,Cloudy,Thundershowers,72,70,26,11
6/21/2015 0:21:00,1013.884767,29.94,70,87,4,Cloudy,Thundershowers,72,70,26,11
6/21/2015 0:51:09,1013.884767,29.94,70,87,4,Cloudy,Thundershowers,72,70,26,11
6/21/2015 1:22:18,1011.852934,29.88,72,87,5,Cloudy,Thundershowers,72,70,26,11
6/21/2015 1:52:27,1011.852934,29.88,72,87,5,Cloudy,Thundershowers,72,70,26,11
6/21/2015 2:22:36,1011.175656,29.86,73,87,3,Light Rain,Thundershowers,72,70,11,11
6/21/2015 2:52:44,1011.175656,29.86,72,93,2,Light Rain,Thundershowers,72,70,11,11
6/21/2015 3:22:56,1010.498378,29.84,73,90,2.5,Light Rain,AM Thunderstorms,88,72,11,38
6/21/2015 3:53:05,1009.482462,29.81,72,91,2.5,Light Rain,AM Thunderstorms,88,72,11,38
6/21/2015 4:23:13,1009.143823,29.8,72,91,2.5,Fog,AM Thunderstorms,88,72,20,38
6/21/2015 4:53:26,1008.805184,29.79,72,91,2.5,Fog,AM Thunderstorms,88,72,20,38
6/21/2015 5:23:33,1008.466545,29.78,72,91,2,Light Rain,AM Thunderstorms,88,72,11,38
6/21/2015 5:53:42,1007.789267,29.76,72,91,3,Light Rain,AM Clouds/PM Sun,88,72,11,30
6/21/2015 6:23:50,1007.789267,29.76,71,90,2.5,Fog,AM Clouds/PM Sun,88,72,20,30
6/21/2015 6:53:59,1007.450628,29.75,71,90,1.5,Light Rain,AM Clouds/PM Sun,88,72,11,30
6/21/2015 7:24:07,1007.450628,29.75,72,91,1.25,Fog,AM Clouds/PM Sun,89,72,20,30
6/21/2015 7:54:16,1007.111989,29.74,72,91,1.25,Fog,AM Clouds/PM Sun,89,72,20,30
6/21/2015 8:24:24,1007.111989,29.74,73,90,2.5,Fog,AM Thunderstorms,89,72,20,38
6/21/2015 8:54:31,1007.111989,29.74,73,90,4,Cloudy,AM Thunderstorms,89,72,26,38
6/21/2015 9:24:40,1007.111989,29.74,74,91,4,Cloudy,AM Thunderstorms,89,72,26,38
6/21/2015 9:54:48,1006.773351,29.73,74,91,5,Cloudy,Partly Cloudy,89,72,26,30
6/21/2015 10:24:55,1006.434712,29.72,76,87,6,Cloudy,Partly Cloudy,89,72,26,30
6/21/2015 10:55:02,1006.773351,29.73,76,87,9,Cloudy,Partly Cloudy,89,72,26,30
6/21/2015 11:25:10,1006.773351,29.73,77,82,10,Mostly Cloudy,Partly Cloudy,88,72,28,30
6/21/2015 11:55:19,1006.434712,29.72,82,65,10,Partly Cloudy,Partly Cloudy,88,72,30,30
6/21/2015 12:25:28,1006.773351,29.73,82,62,10,Partly Cloudy,Partly Cloudy,88,72,30,30
6/21/2015 12:55:37,1006.773351,29.73,82,62,10,Partly Cloudy,Partly Cloudy,87,72,30,30
6/21/2015 13:25:45,1006.773351,29.73,83,58,10,Mostly Cloudy,Partly Cloudy,87,72,28,30
6/21/2015 13:55:52,1006.773351,29.73,83,58,10,Mostly Cloudy,Partly Cloudy,87,71,28,30
6/21/2015 14:26:00,1007.111989,29.74,84,55,10,Partly Cloudy,Partly Cloudy,87,71,30,30
6/21/2015 14:56:08,1007.111989,29.74,84,55,10,Partly Cloudy,Partly Cloudy,87,71,30,30
6/21/2015 15:26:17,1007.450628,29.75,85,53,10,Mostly Cloudy,Partly Cloudy,87,72,28,29
6/21/2015 15:56:26,1007.450628,29.75,85,53,10,Mostly Cloudy,Partly Cloudy,87,72,28,29
6/21/2015 16:26:34,1007.111989,29.74,86,51,10,Mostly Cloudy,Scattered Thunderstorms,87,71,28,47
6/21/2015 16:56:42,1007.111989,29.74,86,51,10,Mostly Cloudy,Scattered Thunderstorms,87,71,28,47
6/21/2015 17:26:49,1006.773351,29.73,88,48,10,Partly Cloudy,Showers,87,72,30,11
6/21/2015 17:56:57,1006.773351,29.73,88,48,10,Partly Cloudy,Showers,87,72,30,11
6/21/2015 18:27:05,1007.111989,29.74,85,53,10,Partly Cloudy,Showers,87,72,30,11
6/21/2015 18:57:13,1007.111989,29.74,85,53,10,Partly Cloudy,Showers,87,72,30,11
6/21/2015 19:27:21,1008.127906,29.77,78,68,10,Partly Cloudy,Showers,87,72,30,11
6/21/2015 19:57:29,1008.127906,29.77,78,68,10,Partly Cloudy,Showers,87,72,30,11
6/21/2015 20:27:37,1008.805184,29.79,80,64,10,Fair,Showers,87,72,34,11
6/21/2015 20:57:45,1008.805184,29.79,80,64,10,Fair,Partly Cloudy,87,72,34,29
6/21/2015 21:27:53,1009.143823,29.8,82,58,10,Fair,Partly Cloudy,87,72,33,29
6/21/2015 21:58:00,1009.143823,29.8,82,58,10,Fair,Partly Cloudy,87,72,33,29
6/21/2015 22:01:16,1009.8211,29.82,82,58,10,Mostly Cloudy,Partly Cloudy,87,72,27,29
6/21/2015 22:01:32,1009.143823,29.8,82,58,10,Fair,Partly Cloudy,87,72,33,29
6/21/2015 22:01:54,1009.8211,29.82,82,58,10,Mostly Cloudy,Partly Cloudy,87,72,27,29
